59
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
250 -50 0.0114242 32.3413 356.931 85.4895 381.001 532.233 2.11474
275 -50 0.0136754 10.3886 149.941 27.4123 165.053 213.835 3.19948
300 -50 0.0164951 3.53686 67.2154 9.31552 76.1435 92.8339 4.85365
325 -50 0.0200523 1.37087 30.7208 3.60105 35.6205 42.0522 6.69356
350 -50 0.0244291 0.63891 13.4885 1.6711 15.9162 18.9213 7.60076
375 -50 0.0295951 0.355568 5.63796 0.924832 6.66612 8.32247 7.07192
400 -50 0.035513 0.227018 2.36441 0.586771 2.70622 3.7529 5.89106
425 -50 0.0421654 0.160605 1.09792 0.41191 1.21263 1.95153 5.08958
450 -50 0.049574 0.122049 0.583011 0.310749 0.63655 1.19879 4.78933
475 -50 0.0577765 0.0974354 0.339696 0.246693 0.381795 0.834533 4.76402
500 -50 0.0668088 0.0807204 0.21569 0.203608 0.272493 0.650049 4.8959
525 -50 0.0767171 0.0690204 0.147673 0.173317 0.208901 0.532952 5.14359
550 -50 0.0875274 0.0604095 0.107367 0.151065 0.168106 0.45302 5.46864
575 -50 0.0992533 0.0538693 0.0810168 0.134187 0.140306 0.395505 5.84741
600 -50 0.111899 0.0487551 0.0631396 0.120997 0.120444 0.352404 6.26934
625 -50 0.125465 0.0446606 0.0504978 0.110461 0.105725 0.319202 6.72974
650 -50 0.139937 0.0413274 0.0413088 0.101905 0.0944578 0.292886 7.22533
675 -50 0.155306 0.0385714 0.0342493 0.0948185 0.0855904 0.271558 7.75367
700 -50 0.171551 0.0362536 0.0288219 0.0888789 0.0784265 0.254035 8.31343
725 -50 0.188656 0.0342935 0.0245459 0.0838513 0.0725516 0.239374 8.90566
750 -50 0.206607 0.0326183 0.0210672 0.0795468 0.0676751 0.226989 9.53143
775 -50 0.225393 0.0311729 0.0182014 0.0758303 0.063584 0.216486 10.193
800 -50 0.245016 0.0299233 0.0156995 0.0726115 0.0601279 0.207479 10.8916
850 -50 0.286842 0.0278848 0.0120059 0.0673541 0.054632 0.192945 12.4069
900 -50 0.332727 0.026317 0.00909578 0.0633072 0.0505285 0.182054 14.0916
950 -50 0.384307 0.0251057 0.00685137 0.0601754 0.0474021 0.173768 15.9591
125 -25 0.0933971 2099.55 2803.83 5314.61 4837.96 13993.7 0.259627
175 -25 0.0215241 303.85 526.284 776.698 773.129 2096.82 0.490632
200 -25 0.0233318 112.462 215.624 286.591 298.359 784.367 0.659025
225 -25 0.0253696 41.1557 88.1753 104.483 114.791 291.234 0.867504
250 -25 0.0277702 15.0484 37.001 38.1089 44.9269 109.139 1.1263
275 -25 0.0306727 5.62135 16.4188 14.2096 18.5566 42.5387 1.4551
300 -25 0.0342518 2.25211 8.04492 5.67204 8.78448 18.4249 1.87664
325 -25 0.0386644 0.994359 4.39054 2.53736 4.7839 9.16753 2.39133
350 -25 0.0439003 0.516975 2.56977 1.32577 2.8009 5.11466 2.91224
375 -25 0.0499094 0.310696 1.54358 0.796905 1.68116 3.08441 3.337
400 -25 0.0566492 0.209102 0.943663 0.534562 1.02764 1.97688 3.64624
425 -25 0.064122 0.152626 0.58975 0.388761 0.646459 1.34371 3.88898
450 -25 0.0723687 0.118023 0.380733 0.299783 0.437671 0.982935 4.12139
475 -25 0.0814351 0.0955755 0.256438 0.241941 0.32158 0.76599 4.37454
500 -25 0.0913722 0.0802004 0.180648 0.202172 0.247859 0.622586 4.66797
525 -25 0.102228 0.069135 0.132688 0.173572 0.198674 0.52324 5.00442
550 -25 0.114035 0.060909 0.100823 0.152266 0.164494 0.451641 5.37935
575 -25 0.126805 0.0545635 0.0787074 0.135866 0.139894 0.398238 5.78937
600 -25 0.140554 0.0495412 0.0629904 0.122933 0.121621 0.357271 6.23256
625 -25 0.155283 0.0455149 0.0514048 0.112532 0.107685 0.325059 6.70869
650 -25 0.170992 0.0422151 0.0425187 0.10403 0.0967961 0.299186 7.21706
675 -25 0.187674 0.0394724 0.0357999 0.0969603 0.0880726 0.278059 7.75673
700 -25 0.205321 0.0371579 0.0303974 0.0910137 0.0809657 0.260556 8.32802
725 -25 0.223938 0.0351981 0.0261079 0.0859618 0.0750812 0.245825 8.93204
750 -25 0.243506 0.0335138 0.0226391 0.0816259 0.0701528 0.233371 9.56988
775 -25 0.264031 0.0320603 0.0197419 0.0778842 0.0659987 0.222713 10.244
800 -25 0.285547 0.0308001 0.0172063 0.07463 0.062467 0.213587 10.9557
850 -25 0.331656 0.0287394 0.0132806 0.0693125 0.0568257 0.198791 12.4987
900 -25 0.382795 0.0271491 0.0103783 0.0652091 0.0525778 0.187642 14.211
950 -25 0.441166 0.0259161 0.00803893 0.0620288 0.0493308 0.179152 16.1048
100 0 0.38948 1445.57 901.671 3485.21 2517.64 8369.96 0.208359
125 0 0.0915399 635.506 479.254 1572.03 1146.92 3762 0.262349
150 0 0.0950844 273.884 228.507 681.656 502.338 1627.56 0.347836
175 0 0.0991004 115.661 103.704 287.606 213.957 685.373 0.464231
200 0 0.103276 48.0226 46.0704 118.976 89.7005 283.568 0.610372
225 0 0.107848 19.7254 20.4965 48.7057 37.6026 116.674 0.786363
250 0 0.112891 8.09617 9.38547 19.968 16.1029 48.5416 0.994548
275 0 0.118584 3.39151 4.61861 8.39496 7.32271 21.0789 1.2415
300 0 0.125131 1.51102 2.54851 3.77396 3.70549 10.0036 1.53887
325 0 0.132568 0.752234 1.59613 1.89734 2.1265 5.3594 1.89516
