68
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
250 -50 0.0128736 34.2126 235.087 172.927 270.482 511.996 1.28787
275 -50 0.0154324 11.0066 101.181 57.0438 112.529 191.379 1.80809
300 -50 0.0186807 3.74825 46.4494 20.0926 50.3079 77.7124 2.56278
325 -50 0.0228168 1.45216 21.5012 7.83639 22.9966 33.6653 3.38115
350 -50 0.0279629 0.676978 9.4665 3.46872 10.1616 14.976 3.80934
375 -50 0.0340247 0.37658 3.88792 1.74746 4.27232 6.77918 3.66619
400 -50 0.0409402 0.240436 1.57469 0.994933 1.81858 3.3069 3.31358
425 -50 0.0486554 0.169647 0.714998 0.632357 0.886187 1.87021 3.12143
450 -50 0.0571937 0.128646 0.376214 0.438903 0.505464 1.21361 3.10708
475 -50 0.0666004 0.102754 0.222658 0.326396 0.325597 0.869184 3.20511
500 -50 0.0768982 0.0853692 0.143261 0.256054 0.228512 0.6672 3.37464
525 -50 0.0881636 0.0730325 0.0982536 0.209299 0.170976 0.538374 3.59466
550 -50 0.100436 0.0639751 0.0705028 0.176859 0.134007 0.450851 3.85346
575 -50 0.113733 0.0570607 0.0524134 0.153318 0.108902 0.388408 4.14393
600 -50 0.128065 0.0516634 0.0400033 0.135639 0.0910067 0.342048 4.46145
625 -50 0.143465 0.0473403 0.0309194 0.121995 0.0775347 0.306414 4.80283
650 -50 0.159901 0.0438178 0.0243141 0.111233 0.0673521 0.2784 5.16672
675 -50 0.17739 0.0409034 0.0190034 0.102529 0.0590968 0.255925 5.55291
700 -50 0.195902 0.038464 0.0152307 0.0954145 0.052897 0.237658 5.96391
725 -50 0.215428 0.0363871 0.0122344 0.0895147 0.0479166 0.222667 6.40023
750 -50 0.235982 0.0346255 0.00972528 0.0845546 0.0438168 0.210198 6.8629
775 -50 0.25756 0.0330981 0.00787745 0.08035 0.0406628 0.199795 7.35096
800 -50 0.280184 0.0317776 0.00617209 0.0767622 0.0380327 0.191081 7.86559
850 -50 0.328683 0.0296248 0.00376827 0.0710035 0.0345735 0.177703 8.98626
900 -50 0.382437 0.0279733 0.00216267 0.0666706 0.0322477 0.167923 10.2372
950 -50 0.443637 0.0266881 0.000871838 0.0633985 0.0304758 0.160518 11.6298
125 -25 0.0163977 2224.24 1760.78 5725.46 3912.67 13674 0.193834
175 -25 0.0256151 321.297 346.742 858.254 668.502 2104.16 0.344574
200 -25 0.0278246 119.079 142.873 319.321 261.539 791.388 0.455816
225 -25 0.0302419 43.6022 58.4692 117.414 101.56 294.986 0.591474
250 -25 0.0330596 15.9508 24.377 43.4449 40.0194 111.05 0.755728
275 -25 0.0364713 5.93855 10.7127 16.601 16.5221 43.4597 0.957006
300 -25 0.0407012 2.35052 5.19323 6.87985 7.5026 18.5797 1.20778
325 -25 0.045932 1.05039 2.81494 3.25569 3.85549 9.06674 1.50932
350 -25 0.0521542 0.546371 1.64842 1.78305 2.19449 5.02803 1.8289
375 -25 0.059272 0.327888 0.990217 1.09729 1.31949 3.06303 2.11932
400 -25 0.0672077 0.220038 0.605582 0.733671 0.826787 2.00351 2.36552
425 -25 0.0759485 0.160468 0.381328 0.522049 0.542341 1.3932 2.58392
450 -25 0.0855226 0.124446 0.248877 0.390894 0.373575 1.02351 2.79696
475 -25 0.0959782 0.100962 0.169222 0.305417 0.270238 0.788694 3.01997
500 -25 0.107383 0.0847776 0.119615 0.247492 0.204279 0.632924 3.26144
525 -25 0.119795 0.0731442 0.0872463 0.20679 0.160118 0.525096 3.52449
550 -25 0.133274 0.0644421 0.0654929 0.177261 0.129508 0.447747 3.8105
575 -25 0.147835 0.0577514 0.0503278 0.155185 0.107524 0.390308 4.11889
600 -25 0.163532 0.0524667 0.0393912 0.138215 0.0911898 0.346478 4.44914
625 -25 0.180378 0.048207 0.0311253 0.12491 0.0785577 0.312161 4.80067
650 -25 0.198362 0.0447236 0.0249448 0.114261 0.0687989 0.284771 5.17371
675 -25 0.217515 0.0418068 0.0200299 0.105581 0.060924 0.262561 5.56938
700 -25 0.237811 0.0393828 0.0163443 0.0984245 0.0547799 0.244332 5.98894
725 -25 0.259278 0.0373146 0.0131824 0.0924583 0.0496157 0.229221 6.43404
750 -25 0.281923 0.0355412 0.0107756 0.0874262 0.0455569 0.216606 6.90506
775 -25 0.305775 0.0340132 0.008824 0.0831366 0.0422702 0.205992 7.40226
800 -25 0.330859 0.0326875 0.00715118 0.0794571 0.0395926 0.197058 7.92655
850 -25 0.385014 0.0305112 0.00467567 0.0735462 0.0359396 0.183286 9.06613
900 -25 0.445795 0.0288284 0.00287544 0.0690802 0.0334887 0.173209 10.3357
950 -25 0.516056 0.0275294 0.00152557 0.0656979 0.0316447 0.165601 11.7454
100 0 0.196315 1571.06 471.287 3344.66 1911.67 7717.48 0.165925
125 0 0.110021 677.519 289.892 1485.65 932.855 3511.23 0.194887
150 0 0.114618 290.455 145.071 639.498 426.382 1532.43 0.248111
175 0 0.119607 122.603 67.2058 268.804 186.315 648.915 0.324402
200 0 0.124736 50.9236 30.2485 111.164 79.3997 269.617 0.421895
225 0 0.130396 20.9352 13.5882 45.7343 33.612 111.42 0.539881
250 0 0.136561 8.59579 6.26741 19.018 14.4371 46.6384 0.679669
275 0 0.143498 3.60244 3.09846 8.25018 6.52664 20.4421 0.845269
300 0 0.151465 1.60519 1.71015 3.90659 3.25458 9.8284 1.0442
325 0 0.160518 0.798077 1.06754 2.09092 1.84681 5.34892 1.28076
350 0 0.170594 0.45224 0.721328 1.26592 1.16866 3.27488 1.54719
375 0 0.181594 0.288232 0.503075 0.845048 0.790643 2.19204 1.82641
400 0 0.193467 0.20173 0.355585 0.604778 0.557618 1.56342 2.10339
425 0 0.20622 0.151458 0.254073 0.455239 0.405669 1.16908 2.37308
450 0 0.219905 0.119861 0.18378 0.356273 0.303663 0.908647 2.63856
475 0 0.234591 0.0986662 0.135546 0.287852 0.234157 0.72996 2.90591
500 0 0.250344 0.0837595 0.101773 0.239083 0.185357 0.603425 3.18179
525 0 0.26727 0.0728568 0.0778296 0.203412 0.150351 0.511302 3.47057
550 0 0.285414 0.0645786 0.0607427 0.176612 0.124832 0.442546 3.77568
575 0 0.304812 0.0581492 0.0479342 0.156049 0.105436 0.389927 4.09867
600 0 0.325587 0.0530281 0.0384739 0.139942 0.0907089 0.348791 4.44082
625 0 0.34766 0.0488728 0.0309761 0.12711 0.0789115 0.316046 4.80287
650 0 0.371107 0.0454677 0.0251629 0.116708 0.0695577 0.289546 5.18607
675 0 0.395928 0.0425978 0.0206833 0.108151 0.0621392 0.267837 5.59181
700 0 0.422172 0.0401949 0.0171822 0.101032 0.0561848 0.249873 6.02148
725 0 0.449841 0.0381454 0.0141294 0.0950643 0.0511199 0.234844 6.47654
750 0 0.479027 0.0363785 0.0117868 0.0899973 0.0470972 0.222174 6.95723
775 0 0.509713 0.0348546 0.00973335 0.0856665 0.0437032 0.211511 7.4641
800 0 0.541969 0.0335262 0.00808682 0.0819409 0.0410123 0.202469 7.99891
850 0 0.611663 0.0313479 0.0055266 0.0759195 0.0372148 0.188429 9.1593
900 0 0.690168 0.0296555 0.00363678 0.071355 0.0346701 0.178139 10.4485
950 0 0.781122 0.0283319 0.00226931 0.0678743 0.0327639 0.170347 11.877
100 25 0.464555 536.54 94.3468 1039 584.708 2379.09 0.190626
125 25 0.475121 251.442 66.5453 499.896 301.662 1166.87 0.211803
150 25 0.490245 118.279 36.542 234.339 148.971 553.917 0.257281
175 25 0.506327 54.8753 18.4272 107.719 70.7275 256.143 0.326599
200 25 0.523655 25.1025 9.03616 48.9176 32.8089 116.626 0.417736
225 25 0.541471 11.3512 4.45397 22.1561 15.1166 52.9445 0.529033
250 25 0.560201 5.12348 2.28772 10.1946 7.08074 24.4709 0.660063
275 25 0.580094 2.36177 1.28008 4.91742 3.50131 11.9086 0.81285
300 25 0.601284 1.15728 0.798954 2.58513 1.90428 6.34336 0.993131
325 25 0.623855 0.628154 0.562776 1.51751 1.17333 3.77131 1.20563
350 25 0.647595 0.381303 0.418566 0.98734 0.794592 2.47746 1.4476
375 25 0.672619 0.255755 0.317051 0.697154 0.571389 1.75694 1.71043
400 25 0.698766 0.185464 0.242426 0.522087 0.427745 1.31667 1.98439
425 25 0.726132 0.142822 0.186631 0.407908 0.329356 1.02709 2.26311
450 25 0.754788 0.115118 0.143938 0.329191 0.258908 0.826776 2.54492
475 25 0.784841 0.0961176 0.112167 0.272724 0.208037 0.68308 2.83129
500 25 0.816205 0.0824574 0.0880223 0.231028 0.170118 0.577232 3.12556
525 25 0.849551 0.0722773 0.0698764 0.199511 0.141624 0.497403 3.43089
550 25 0.884376 0.0644758 0.056243 0.175227 0.11999 0.435954 3.75008
575 25 0.920941 0.0583298 0.0454675 0.156162 0.102894 0.387839 4.08557
600 25 0.959351 0.0534118 0.03714 0.140975 0.0894677 0.349462 4.43887
625 25 0.999647 0.0493976 0.0305731 0.128703 0.0787195 0.318431 4.81176
650 25 1.04185 0.0460701 0.025339 0.118639 0.0700221 0.29302 5.20578
675 25 1.08601 0.0432762 0.0212505 0.110286 0.0630483 0.271954 5.62226
700 25 1.13214 0.0409059 0.0176735 0.103273 0.0570712 0.25439 6.06268
725 25 1.1806 0.0388948 0.0148645 0.0973465 0.0522611 0.239558 6.52818
750 25 1.23109 0.0371467 0.0125318 0.0922982 0.0482627 0.227009 7.01935
775 25 1.28379 0.0356269 0.0105762 0.0879574 0.0449544 0.21639 7.53688
800 25 1.33884 0.0343085 0.00892169 0.08421 0.0422587 0.207331 8.08263
850 25 1.45655 0.0321353 0.00630461 0.0781245 0.0383899 0.19316 9.2655
900 25 1.58742 0.0304352 0.00435058 0.0734845 0.0357747 0.182716 10.5755
950 25 1.73587 0.0291123 0.00283485 0.0699309 0.0338107 0.174814 12.0232
100 50 1.68588 217.06 23.4 389.322 220.895 886.254 0.226056
125 50 1.71035 108.67 19.1601 201.866 119.885 465.411 0.239761
150 50 1.75496 55.2081 11.5891 102.034 63.4896 237.955 0.27767
175 50 1.8058 27.7586 6.34252 50.7276 32.5088 118.983 0.340505
200 50 1.86022 13.7506 3.37343 24.9726 16.2751 58.7137 0.426438
225 50 1.91624 6.72077 1.81826 12.289 8.08695 28.9657 0.532794
250 50 1.97315 3.27401 1.03497 6.16194 4.08552 14.6051 0.657751
275 50 2.0339 1.63318 0.644441 3.24945 2.17938 7.7779 0.802656
300 50 2.09576 0.868915 0.454068 1.86206 1.28394 4.51098 0.972884
325 50 2.15966 0.507109 0.348428 1.1749 0.841633 2.87877 1.17262
350 50 2.22546 0.326542 0.275811 0.809523 0.597576 1.9986 1.40095
375 50 2.29349 0.22855 0.222168 0.596664 0.449268 1.48054 1.65239
400 50 2.36351 0.170999 0.179351 0.462359 0.349991 1.14959 1.92022
425 50 2.43573 0.134778 0.14482 0.371684 0.27921 0.924181 2.19931
450 50 2.50985 0.110507 0.117009 0.307137 0.227031 0.763064 2.48689
475 50 2.58732 0.0934135 0.0948748 0.259483 0.187742 0.643948 2.78256
500 50 2.667 0.0809276 0.0771527 0.223335 0.157373 0.553571 3.08767
525 50 2.74946 0.0715107 0.0631313 0.195359 0.133712 0.48359 3.40438
550 50 2.83485 0.0641796 0.0520093 0.173328 0.115055 0.428508 3.73494
575 50 2.92327 0.0583588 0.0430685 0.155716 0.100099 0.384482 4.08131
600 50 3.01472 0.053652 0.0358211 0.141476 0.087956 0.348805 4.44554
625 50 3.10969 0.0497907 0.029998 0.129811 0.078103 0.319538 4.82944
