33
Vdd[mV] Temp[C] Leakage[nA] FwdLatUp[ns] FwdLatDn[ns] BwdLatUp[ns] BwdLatDn[ns] CycTime[ns] EpC[fJ]
250 -50 0.00579958 37.6572 313.688 47.8852 321.96 436.159 0.930016
275 -50 0.00687922 12.0959 132.522 15.3669 135.204 171.953 1.41283
300 -50 0.00826959 4.11921 59.5216 5.22866 60.445 72.9463 2.13991
325 -50 0.0100866 1.59886 27.0285 2.0284 27.3907 32.2782 2.91595
350 -50 0.0123696 0.747307 11.8658 0.947067 12.0354 14.3342 3.26321
375 -50 0.0150624 0.416775 5.01329 0.527437 5.1076 6.39158 3.02211
400 -50 0.0180983 0.267409 2.12872 0.337441 2.18869 3.0085 2.5288
425 -50 0.0214435 0.189299 1.01324 0.238315 1.05535 1.63118 2.17868
450 -50 0.0250952 0.143883 0.561908 0.180617 0.593655 1.03155 2.02674
475 -50 0.0290697 0.11522 0.353336 0.144222 0.37856 0.730483 1.99668
500 -50 0.0333918 0.0959038 0.243869 0.11974 0.264661 0.559 2.03693
525 -50 0.0380873 0.0822246 0.180024 0.102424 0.197727 0.451565 2.12147
550 -50 0.0431789 0.0721696 0.1399 0.0897231 0.155277 0.379369 2.23646
575 -50 0.0486837 0.064474 0.113075 0.0800285 0.1267 0.328225 2.3747
600 -50 0.0546132 0.0584876 0.094266 0.0724575 0.106513 0.290439 2.53164
625 -50 0.0609721 0.0536765 0.0805667 0.0664295 0.0917132 0.261633 2.7054
650 -50 0.0677608 0.0497687 0.0702796 0.0615338 0.0804956 0.239038 2.89409
675 -50 0.0749775 0.0465353 0.0623536 0.0574774 0.0717833 0.220952 3.09742
700 -50 0.082616 0.0438193 0.0561084 0.0540803 0.0648748 0.206211 3.31528
725 -50 0.0906718 0.04153 0.0510903 0.0512206 0.0592824 0.194004 3.54783
750 -50 0.0991409 0.0395793 0.047007 0.0487744 0.0546972 0.183788 3.79563
775 -50 0.108022 0.0378873 0.0436376 0.0466701 0.0508888 0.175142 4.05916
800 -50 0.117318 0.0364452 0.0408206 0.0448651 0.0476778 0.167813 4.33925
850 -50 0.137203 0.0340859 0.0364331 0.0419296 0.0426103 0.156046 4.95283
900 -50 0.159156 0.0322846 0.0332233 0.0397146 0.0388485 0.147282 5.64223
950 -50 0.184069 0.0308965 0.0308217 0.0380143 0.0359946 0.140715 6.41334
125 -25 0.158571 2497.19 3780.05 3070.37 4165.93 11099.2 0.105576
175 -25 0.0113573 359.74 645.825 445.391 712.26 1706.65 0.200247
200 -25 0.0122353 133.001 254.958 164.336 280.266 644.575 0.270119
225 -25 0.0132481 48.6321 100.159 59.9449 109.526 241.614 0.357105
250 -25 0.0144444 17.7504 40.0449 21.8584 43.49 91.5283 0.46522
275 -25 0.015915 6.60571 16.8399 8.14167 18.1374 36.0978 0.602024
300 -25 0.0177826 2.61597 7.82875 3.23619 8.35309 15.5819 0.778155
325 -25 0.0201236 1.16902 4.1228 1.45501 4.36355 7.68402 0.993743
350 -25 0.0229229 0.609078 2.38155 0.762037 2.50983 4.27387 1.21549
375 -25 0.0261029 0.366121 1.44185 0.459341 1.52001 2.5963 1.39794
400 -25 0.0296038 0.24628 0.902634 0.309187 0.955497 1.68707 1.529
425 -25 0.033402 0.179953 0.587969 0.225688 0.626684 1.16579 1.62803
450 -25 0.0375071 0.139777 0.401208 0.175034 0.431216 0.85315 1.71868
475 -25 0.0419377 0.113594 0.287277 0.141982 0.311552 0.656795 1.81589
500 -25 0.0467285 0.0956027 0.214947 0.119242 0.235279 0.527729 1.92549
525 -25 0.0519046 0.0826061 0.167296 0.102828 0.184754 0.439122 2.04998
550 -25 0.057506 0.072897 0.134632 0.0905859 0.149908 0.375907 2.1896
575 -25 0.0635439 0.0653985 0.111463 0.0811449 0.125066 0.329238 2.34376
600 -25 0.0700382 0.0595215 0.0945002 0.0737223 0.106781 0.293711 2.51201
625 -25 0.0769984 0.0547661 0.0817459 0.0677581 0.0929414 0.26606 2.69427
650 -25 0.0844301 0.0508996 0.0719378 0.0628989 0.0822103 0.244015 2.88977
675 -25 0.0923356 0.0476637 0.0642377 0.0588423 0.0737321 0.226167 3.09925
700 -25 0.100712 0.0449464 0.0580788 0.0554354 0.0669102 0.211484 3.32308
725 -25 0.109569 0.042667 0.0530733 0.0525669 0.0613307 0.199259 3.56156
750 -25 0.1189 0.0406876 0.0489585 0.0501031 0.0567179 0.188963 3.81544
775 -25 0.128713 0.038996 0.0455395 0.0479822 0.0528614 0.18021 4.08506
800 -25 0.139023 0.0375204 0.0426637 0.0461461 0.0495952 0.172773 4.37151
850 -25 0.161217 0.0351419 0.0381467 0.0431855 0.0444026 0.160783 4.99738
900 -25 0.186017 0.0332922 0.0348092 0.0409199 0.0405159 0.1518 5.69859
950 -25 0.214602 0.0318779 0.0322817 0.039198 0.0375412 0.145058 6.48032
100 0 0.0554557 1752.07 1713.02 2084.98 1943.94 6413.58 0.0841544
125 0 0.049148 762.614 816.074 922.547 926.706 2898.82 0.105556
